dataset,spearman_corr,spearman_p,mse,mae,n_samples
kermut_fold_random_5,0.8079662150851893,0.0,0.40653159476095346,0.4676473935613468,4960
kermut_fold_modulo_5,0.8074079767467909,3.466693048377928e-147,0.40835648039377576,0.5009576752478739,635
kermut_fold_modulo_5,0.8059523061405177,0.0,0.3751570341521139,0.4780488264701974,1570
kermut_fold_random_5,0.805138392214768,7.795896957012316e-160,0.30804198712280756,0.3870989637014347,697
kermut_fold_modulo_5,0.804186120637097,1.3446048335713045e-304,0.3013236055805449,0.41533043254375374,1340
kermut_fold_random_5,0.8036477672568614,3.728456965614483e-83,0.42769903825339994,0.4630006995812155,362
kermut_fold_modulo_5,0.7975759487604689,3.6969453666091363e-264,0.29707822751684015,0.4019324574962426,1195
kermut_fold_random_5,0.7938314633408957,0.0,0.3687915207637766,0.4357621532215783,2395
kermut_fold_modulo_5,0.7924252658002304,3.704548300767899e-278,0.3051679699117476,0.3994566606774087,1287
kermut_fold_random_5,0.7921386014575436,0.0,0.33560488533306465,0.37389841584075245,2339
kermut_fold_random_5,0.7912975702251148,0.0,0.29419940536523814,0.42756570685734135,10094
kermut_fold_random_5,0.7910814699878846,0.0,0.2739565691462937,0.3638234697303298,4670
kermut_fold_random_5,0.7905610071189496,8.440763498721785e-251,0.40193192260323934,0.44666856861648413,1169
kermut_fold_random_5,0.7903975149226226,7.531452255953094e-225,0.3473639541722743,0.4614363283567271,1048
kermut_fold_random_5,0.7894307790133029,0.0,0.2452948125544168,0.3597422200469116,2122
kermut_fold_random_5,0.7869486935306559,0.0,0.3709395959445838,0.4618095429053496,3344
kermut_fold_random_5,0.7868793931156717,2.4664e-320,0.36290391324355303,0.41347379879748514,1519
kermut_fold_modulo_5,0.7860305880567988,9.245023049171659e-135,0.4110898511645262,0.5112218069795919,637
kermut_fold_random_5,0.7857443453283037,0.0,0.2587936257713001,0.3854428779755075,2315
kermut_fold_modulo_5,0.7837759432505701,8.837927677736864e-241,0.33869058961685344,0.4496108726099203,1155
kermut_fold_modulo_5,0.7828723451210287,1.646412404347092e-195,0.36770027636045927,0.4509026728829787,940
kermut_fold_random_5,0.7819632629728968,0.0,0.41752659908171597,0.4968290342992378,7890
kermut_fold_modulo_5,0.7818270203819928,5.08459757802399e-247,0.3229958453089568,0.4374790741002511,1195
kermut_fold_random_5,0.781425752658759,0.0,0.4129954932319704,0.49990803882035295,3344
kermut_fold_random_5,0.7807175822878165,4.5200032173713035e-246,0.29888484838698925,0.38420050006622913,1196
kermut_fold_random_5,0.7805331510594669,9.35137073329912e-17,0.7137374630830604,0.49206110669736836,76
kermut_fold_random_5,0.7801753730950508,0.0,0.32606122969142454,0.40979240352035834,4007
kermut_fold_modulo_5,0.778194367185678,1.0470711807090048e-246,0.33464271490344,0.4254821495481023,1212
kermut_fold_modulo_5,0.77668342522555,2.819645376426249e-274,0.238434646560143,0.3639362122555638,1357
kermut_fold_random_5,0.7763084079500324,5.055590837439386e-200,0.3069570447827426,0.4115178737625884,989
kermut_fold_random_5,0.7755350984859425,5.895428740632602e-275,0.27141361688360166,0.34971188926693636,1367
kermut_fold_random_5,0.7719854070660523,1.2918825970808667e-13,0.4558203220088937,0.48133260863333327,63
kermut_fold_modulo_5,0.7708601563914896,1.6077491785324603e-185,0.3424350245416902,0.4534397938682836,938
